county,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Alamance,12,6,7,5,5,9,4,5,15,9
Alexander,13,6,4,1,4,3,5,4,2,3
Alleghany,0,3,0,2,1,1,1,2,3,0
Anson,0,1,2,1,0,2,0,1,0,1
Ashe,4,2,2,2,5,2,2,3,2,1
Avery,2,0,1,2,0,0,3,4,0,1
Beaufort,2,3,4,2,1,2,3,7,4,5
Bertie,1,1,0,0,1,0,1,1,1,0
Bladen,3,2,2,2,2,6,4,3,2,2
Brunswick,18,16,17,18,14,14,13,13,14,9
Buncombe,8,10,16,22,11,12,16,16,29,16
Burke,12,11,8,14,15,18,26,17,11,6
Cabarrus,13,13,13,8,16,7,7,15,11,5
Caldwell,10,9,6,8,5,7,18,14,6,10
Camden,0,1,0,1,1,0,1,0,0,0
Carteret,7,6,6,2,6,10,11,13,7,8
Caswell,0,0,0,1,0,0,2,3,2,1
Catawba,17,9,19,10,13,12,14,20,16,5
Chatham,2,4,3,3,1,4,0,0,2,4
Cherokee,4,8,15,2,3,2,1,3,4,1
Chowan,1,0,0,0,1,0,1,2,2,0
Clay,0,4,1,0,1,2,0,2,2,1
Cleveland,12,12,3,7,5,6,13,7,3,1
Columbus,9,7,8,4,3,5,6,9,7,6
Craven,4,6,2,3,13,8,13,17,9,7
Cumberland,20,20,19,14,14,21,20,23,30,16
Currituck,1,0,0,0,0,1,1,2,6,0
Dare,3,3,2,2,3,4,1,0,3,7
Davidson,14,11,16,12,16,18,13,13,17,19
Davie,4,2,2,2,3,5,1,7,5,1
Duplin,3,2,3,2,1,1,1,0,3,2
Durham,5,10,5,4,8,4,6,9,8,11
Edgecombe,2,1,1,2,4,2,5,4,3,1
Forsyth,17,14,23,19,18,22,27,16,24,28
Franklin,4,1,0,4,3,3,4,5,2,4
Gaston,25,28,21,24,20,20,18,21,18,12
Gates,1,0,0,0,0,0,1,0,2,0
Graham,0,5,1,2,1,0,2,1,1,0
Granville,4,1,4,6,3,0,3,4,4,2
Greene,0,1,0,0,0,0,0,2,0,0
Guilford,24,14,18,21,8,10,19,23,22,26
Halifax,1,1,0,3,3,2,3,1,0,3
Harnett,4,10,5,7,9,10,8,9,11,10
Haywood,7,8,4,12,7,1,7,8,9,3
Henderson,13,13,8,6,11,6,10,7,7,3
Hertford,0,0,0,0,1,0,0,2,1,1
Hoke,2,1,3,1,3,4,1,1,2,1
Hyde,0,0,0,1,0,0,0,0,0,1
Iredell,18,12,18,10,10,13,6,13,7,7
Jackson,4,5,5,1,0,1,3,3,3,4
Johnston,9,12,11,7,7,10,16,8,13,6
Jones,2,0,0,0,0,0,2,3,1,1
Lee,3,4,5,7,4,4,3,3,4,2
Lenoir,1,4,2,0,0,1,3,2,5,2
Lincoln,12,4,10,7,10,5,3,11,2,3
Macon,1,2,1,1,3,3,5,3,3,2
Madison,0,4,1,1,0,1,4,0,1,0
Martin,2,1,0,3,1,1,1,0,2,1
McDowell,3,5,4,4,2,4,7,13,5,2
Mecklenburg,21,37,29,33,18,28,25,39,35,23
Mitchell,3,1,2,3,1,0,4,3,1,2
Montgomery,1,2,0,2,1,0,2,0,4,1
Moore,9,3,3,5,1,6,8,9,3,0
Nash,2,0,1,3,3,5,6,4,2,5
New Hanover,19,16,24,16,16,7,16,15,27,17
Northampton,1,0,1,0,1,2,0,2,1,0
Onslow,12,7,8,12,12,10,12,17,12,11
Orange,9,4,5,8,1,1,4,6,4,9
Pamlico,0,1,1,1,0,2,1,2,1,2
Pasquotank,1,0,2,1,2,1,1,1,3,2
Pender,4,5,4,5,6,0,6,8,2,4
Perquimans,0,0,1,1,0,0,0,0,0,0
Person,2,2,5,3,3,2,3,2,3,4
Pitt,7,4,2,4,8,14,5,13,17,11
Polk,3,4,3,4,0,0,2,3,3,1
Randolph,16,12,17,10,15,9,17,14,18,9
Richmond,7,4,6,6,6,8,9,3,4,3
Robeson,5,4,9,12,10,13,11,6,11,9
Rockingham,5,6,9,6,7,6,9,12,9,11
Rowan,21,12,23,20,8,16,16,10,19,7
Rutherford,6,5,5,6,7,6,10,5,11,4
Sampson,6,3,7,2,4,11,2,5,2,4
Scotland,0,3,2,2,3,4,5,3,3,3
Stanly,4,12,6,6,3,4,7,4,2,1
Stokes,4,3,8,1,3,3,8,7,11,5
Surry,11,10,7,11,10,13,5,8,7,6
Swain,2,7,1,2,1,1,1,0,3,1
Transylvania,5,3,3,4,5,4,2,6,4,1
Tyrrell,0,0,0,1,0,0,0,0,0,1
Union,6,5,5,4,8,10,11,8,8,6
Vance,2,2,1,1,1,2,4,1,4,1
Wake,24,28,26,17,27,23,24,40,46,27
Warren,0,0,0,0,1,0,0,0,0,0
Washington,0,0,0,0,0,0,0,0,0,0
Watauga,6,1,2,2,3,2,1,4,0,3
Wayne,6,5,6,4,5,1,2,4,8,7
Wilkes,25,12,7,10,15,26,20,25,8,8
Wilson,1,1,4,2,3,1,2,4,3,2
Yadkin,5,6,6,7,6,9,3,3,3,7
Yancey,3,5,4,5,0,4,4,3,0,2